,genetic_cost,genetic_duration,solver_cost,solver_duration
0,150.0,0.2277529239654541,150.0,1.7016792297363281
1,150.0,0.356158971786499,150.0,4.04429292678833
2,150.0,0.4037792682647705,150.0,7.608431100845337
3,150.0,0.43883490562438965,122.0,11.335926055908203
4,150.0,0.4452338218688965,150.0,11.323246955871582
5,150.0,0.40692615509033203,148.0,14.150212049484253
6,150.0,0.4444859027862549,150.0,21.520514965057373
7,150.0,0.4434010982513428,150.0,37.70551896095276
8,150.0,0.434002161026001,150.0,31.170182943344116
9,150.0,0.4307901859283447,103.0,32.74295401573181
